S/N,X (km),Y (km),Rock type,Land use,Cd (ppm),Cu (ppm),Pb (ppm),Co (ppm),Cr (ppm),Ni (ppm),Zn (ppm),,Rock type,
1,2.386,3.077,3,3,1.74,25.72,77.36,9.32,38.32,21.32,92.56,,1,Argovian
2,2.544,1.972,2,2,1.335,24.76,77.88,10,40.2,29.72,73.56,,2,Kimmeridgian
3,2.807,3.342,3,2,1.61,8.88,30.8,10.6,47,21.4,64.8,,3,Sequanian
4,4.308,1.933,2,3,2.15,22.7,56.4,11.92,43.52,29.72,90,,4,Portlandian
5,4.383,1.081,5,3,1.565,34.32,66.4,16.32,38.52,26.2,88.4,,5,Quaternary
6,3.244,4.519,5,3,1.145,31.28,72.4,3.5,40.4,22.04,75.2,,,
7,3.925,3.785,5,3,0.894,27.44,60,15.08,30.52,21.76,72.4,,,
8,2.116,3.498,1,3,0.525,66.12,141,4.2,25.4,9.72,72.08,,Land Use,
9,1.842,0.989,1,3,0.24,22.32,52.4,4.52,27.96,11.32,56.4,,1,Forest
10,1.709,1.843,3,3,0.625,18.72,41.6,12.08,33.32,16.88,75.6,,2,Pasture
11,3.8,4.578,1,3,3.873,22.24,46,9.84,46,21.64,143.2,,3,Meadow
12,2.699,1.199,1,1,1.425,8.76,56.4,7.56,40.8,15.72,66.8,,4,Tillage
13,3.033,4.384,5,3,0.455,21.36,38.36,2.36,19.24,7.08,37.88,,,
14,4.232,1.588,2,1,1.025,5.88,52.8,8.84,28.32,17.4,47.6,,,
15,4.75,1.369,2,3,0.775,17.6,32.92,11.96,35.6,23.76,70.8,,,
16,2.341,4.135,1,3,0.62,18.52,42,5.32,31,10.8,46.8,,,
17,2.827,3.667,5,3,0.4,3.96,21.48,4.68,20.52,6.68,25.2,,,
18,3.043,4.692,1,3,0.625,8.24,29.92,3.53,25.2,11.32,31.32,,,
19,1.687,1.174,1,3,0.355,21.56,46.8,3.64,18.4,6.64,39.56,,,
20,2.235,2.386,5,3,1.585,40.88,88.68,12.44,40.56,25.08,114.28,,,
21,3.122,1.695,2,3,1.885,35.92,72.88,12.92,44,34.72,120.28,,,
22,2.219,2.774,2,2,1.3,8.8,56.52,13.04,32.48,31.52,71.76,,,
23,3.185,2.092,2,3,1.575,22.12,43.68,11.2,35.72,35,90.68,,,
24,3.514,5.119,1,2,4.191,15.48,33.36,9.28,52,21.76,145.6,,,
25,4.459,2.624,2,1,1.485,11.16,34.64,6.84,19,15.84,82.8,,,
26,4.339,1.473,5,3,0.915,39.8,64.8,10.8,32.72,18.6,86,,,
27,4.92,1.417,2,3,0.705,15.76,39.52,8.56,30.28,21.96,66.4,,,
28,3.648,3.78,2,3,0.62,48.8,63.2,14.16,28.56,24.44,78,,,
29,2.916,4.916,1,1,0.885,4.52,37.16,6.28,27.92,13.88,46.8,,,
30,3.127,1.691,2,3,1.96,47.12,93.92,13.4,45.2,35.12,123.84,,,
31,3.441,4.719,5,2,3.155,48.8,55.6,9.28,62.4,24.28,151.6,,,
32,3.336,4.613,5,3,1.28,24.96,49.2,5.92,38.52,23.28,81.6,,,
33,3.649,2.674,2,1,1.785,9.65,58.4,7.44,23.72,17.72,58,,,
34,3.875,4.924,5,3,1.895,25.28,35.6,11.48,52,26.72,141.6,,,
35,2.612,4.114,1,3,0.57,33.8,58.4,4.88,27.32,7.44,47.6,,,
36,2.34,4.141,1,3,0.54,17.4,36.88,5.48,35.72,10.6,53.2,,,
37,3.811,1.318,2,3,0.75,16.4,39.8,12.6,36.2,26.6,80.8,,,
38,3.661,3.788,2,3,0.875,65.2,69.6,14.64,28.88,20.8,76.4,,,
39,4.34,3.736,3,2,2.818,29.12,46,11.24,35.04,21.96,80.8,,,
40,2.972,0.988,3,2,3.805,112.04,229.56,9.16,67.04,28.88,219.32,,,
41,2.286,3.068,3,3,0.605,28.8,56.6,9.68,27.32,12.8,67.16,,,
42,1.813,2.116,3,3,1.003,21.2,48.8,11.32,33.48,20.56,110,,,
43,3.379,4.308,5,3,1.9,10.28,36.44,8.52,46.6,24.8,83.6,,,
44,1.965,2.807,3,3,0.895,60.72,89.68,12.6,41.6,24.16,102.44,,,
45,3.559,4.009,3,2,4.02,21.08,52,6.16,60.8,21.96,101.6,,,
46,2.267,4.189,1,3,0.56,12.72,39.64,6.64,35.12,11.12,57.2,,,
47,2.965,1.002,3,2,1.39,57.2,129.2,10.36,45.6,24.6,149.2,,,
48,3.12,1.469,3,1,1.91,11.6,69.16,2.12,31.12,8,50.4,,,
49,3.454,4.654,5,2,1.07,10.88,29.88,7.8,38.24,19.92,70.8,,,
50,1.071,1.567,3,2,0.795,9.92,37.48,9.96,29.08,15.28,65.6,,,
51,3.573,3.542,5,3,0.55,50.4,77.2,9.56,26.6,16,76,,,
